interval,model,run_idx,parameters,mean_accuracy,total_reward,adaptation_time,mean_gamma,log_likelihood,aic,bic
40,M1,0,3,0.89875,446,2.3157894736842106,2.5,-355.4977660387491,716.9955320774982,731.049367260502
40,M1,1,3,0.91125,446,2.1578947368421053,2.5,-356.0246063916193,718.0492127832385,732.1030479662423
40,M1,2,3,0.92125,480,2.3684210526315788,2.5,-351.2267339396153,708.4534678792306,722.5073030622344
40,M1,3,3,0.9,460,2.1052631578947367,2.5,-353.41909367408766,712.8381873481753,726.8920225311791
40,M1,4,3,0.92125,470,1.894736842105263,2.5,-353.15622754013583,712.3124550802717,726.3662902632755
40,M1,5,3,0.91125,426,1.894736842105263,2.5,-358.353205113733,722.706410227466,736.7602454104698
40,M1,6,3,0.90625,436,2.4210526315789473,2.5,-357.0934397524901,720.1868795049802,734.240714687984
40,M1,7,3,0.9175,478,2.210526315789474,2.5,-351.16212720340127,708.3242544068025,722.3780895898063
40,M1,8,3,0.92,432,1.631578947368421,2.5,-357.06739553524153,720.1347910704831,734.1886262534869
40,M1,9,3,0.90375,478,3.210526315789474,2.5,-352.2129781227378,710.4259562454756,724.4797914284794
40,M1,10,3,0.91125,450,2.4210526315789473,2.5,-357.5378186979981,721.0756373959962,735.129472579
40,M1,11,3,0.93,486,2.1052631578947367,2.5,-351.75055178977686,709.5011035795537,723.5549387625575
40,M1,12,3,0.915,468,2.736842105263158,2.5,-353.4786267326316,712.9572534652632,727.011088648267
40,M1,13,3,0.90375,478,2.6315789473684212,2.5,-352.31530194108126,710.6306038821625,724.6844390651663
40,M1,14,3,0.89375,442,2.789473684210526,2.5,-355.43448292613533,716.8689658522707,730.9228010352745
40,M1,15,3,0.92375,466,2.1578947368421053,2.5,-352.6320702067444,711.2641404134888,725.3179755964926
40,M1,16,3,0.92125,480,2.1052631578947367,2.5,-351.9672560968144,709.9345121936288,723.9883473766326
40,M1,17,3,0.92625,500,2.1578947368421053,2.5,-348.7159406506895,703.431881301379,717.4857164843828
40,M1,18,3,0.92,496,2.1578947368421053,2.5,-348.23644708504855,702.4728941700971,716.5267293531009
40,M1,19,3,0.8875,430,2.6842105263157894,2.5,-359.190173902698,724.380347805396,738.4341829883998
40,M2,0,4,0.89875,450,2.263157894736842,2.1147205925345465,-429.3586257209116,866.7172514418232,885.4556983524949
40,M2,1,4,0.91125,446,2.1578947368421053,2.107024476751537,-431.40192624273203,870.8038524854641,889.5422993961357
40,M2,2,4,0.92,478,2.3684210526315788,2.1326077879778977,-421.8248592117525,851.649718423505,870.3881653341766
40,M2,3,4,0.89875,458,2.1052631578947367,2.125114908090839,-425.31244521785436,858.6248904357087,877.3633373463804
