interval,compared_to,metric,n,t_stat,t_p,wilcoxon_stat,wilcoxon_p,cohen_d,mean_diff,mean_diff_ci_lo,mean_diff_ci_hi
160,M1,mean_accuracy,20,-2.4376392149136494,0.024781543019315146,10.5,0.04122683333716367,-0.5450726989166139,-0.0005625000000000046,-0.0010000000000000065,-0.0001249999999999918
160,M1,log_likelihood,20,1006.5014243466383,2.2462780886213333e-46,0.0,1.9073486328125e-06,225.06056042894448,313.26645375516637,312.6530663637104,313.88565552712095
160,M1,total_reward,20,-0.2367428935366762,0.8153899294316493,31.0,0.8496917484609217,-0.052937320313800364,-0.1,-0.9,0.7
160,M2,mean_accuracy,20,1.809934272001503,0.08615318987596082,9.0,0.055883012856358105,0.4047136067001955,0.0006250000000000089,5.551115123125783e-18,0.0013125000000000163
160,M2,log_likelihood,20,444.6306632939482,1.2377823711059756e-39,0.0,1.9073486328125e-06,99.42243880060887,380.81046984483623,379.1762351401651,382.46692371745104
160,M2,total_reward,20,1.2909944487358056,0.21219325828448618,37.5,0.19169460205188804,0.2886751345948129,1.0,-0.4,2.5
40,M1,mean_accuracy,20,-0.8388704928078852,0.41197227290129057,27.0,0.3418371056924747,-0.187577144623718,-0.00031250000000001,-0.001000000000000023,0.000374999999999992
40,M1,log_likelihood,20,1101.3265532468763,4.060159097134349e-47,0.0,1.9073486328125e-06,246.26410384855572,314.69494689695966,314.1753500139759,315.26478615286175
40,M1,total_reward,20,-0.4709457328275547,0.6430413877149445,54.0,0.7257209852083117,-0.10530666723158665,-0.3,-1.5,0.9
40,M2,mean_accuracy,20,0.5920755910650695,0.5607802531035773,43.0,0.5483510820177111,0.13239212694398625,0.00031249999999999887,-0.0006874999999999909,0.0013125000000000166
40,M2,log_likelihood,20,503.7663457433938,1.1544168593674687e-40,0.0,1.9073486328125e-06,112.64557938588904,387.59823372564847,386.1639849662002,389.101546890452
40,M2,total_reward,20,0.3257994036161639,0.7481369754472712,63.0,0.7928838759789869,0.07285096135146332,0.3,-1.4,2.1024999999999636
80,M1,mean_accuracy,20,-2.5166114784235836,0.020991504670164803,9.0,0.02577762176130498,-0.5627314338711377,-0.0006249999999999922,-0.0010624999999999996,-0.000187499999999996
80,M1,log_likelihood,20,1070.9508775635275,6.90755157716717e-47,0.0,1.9073486328125e-06,239.47189627951022,313.89551004659927,313.35631261737973,314.47299667774143
80,M1,total_reward,20,-0.49041444627368397,0.6294562020426394,23.0,0.626748166984805,-0.10966000390158757,-0.2,-1.0,0.6
80,M2,mean_accuracy,20,1.0988733765976222,0.28555325143985383,37.5,0.33140594694491454,0.24571555687370097,0.0004374999999999962,-0.00031249999999999887,0.0011874999999999972
80,M2,log_likelihood,20,450.90026535138065,9.486678473329461e-40,0.0,1.9073486328125e-06,100.824364439838,383.23659000510145,381.6323472693751,384.8946193408905
80,M2,total_reward,20,0.37577335615242136,0.7112480864246352,53.5,0.7076282299901667,0.0840254768490053,0.3,-1.1024999999999991,1.9
