interval,model,run_idx,parameters,mean_accuracy,total_reward,adaptation_time,mean_gamma,log_likelihood,aic,bic
160,M1,0,3,0.94125,494,1.75,2.5,-349.0329384707602,704.0658769415204,718.1197121245242
160,M1,1,3,0.95875,490,2.0,2.5,-350.14819178667875,706.2963835733575,720.3502187563613
160,M1,2,3,0.965,538,2.75,2.5,-343.7211112995822,693.4422225991644,707.4960577821682
160,M1,3,3,0.93875,506,2.25,2.5,-346.8617493040862,699.7234986081723,713.7773337911761
160,M1,4,3,0.95125,506,1.75,2.5,-347.4120820969715,700.824164193943,714.8779993769468
160,M1,5,3,0.95875,482,1.25,2.5,-350.40938665138293,706.8187733027659,720.8726084857697
160,M1,6,3,0.95875,496,1.75,2.5,-348.77653279699615,703.5530655939923,717.6069007769961
160,M1,7,3,0.9625,530,2.0,2.5,-343.40392404356095,692.8078480871219,706.8616832701257
160,M1,8,3,0.94625,466,2.0,2.5,-352.13005447605883,710.2601089521177,724.3139441351215
160,M1,9,3,0.955,524,2.5,2.5,-346.3846939079583,698.7693878159166,712.8232229989204
160,M1,10,3,0.96125,502,2.25,2.5,-349.83787477821215,705.6757495564243,719.7295847394281
160,M1,11,3,0.97,518,1.75,2.5,-346.2141839135195,698.428367827039,712.4822030100428
160,M1,12,3,0.9675,528,3.0,2.5,-345.62133158853965,697.2426631770793,711.2964983600831
160,M1,13,3,0.96625,534,2.75,2.5,-344.4406479395176,694.8812958790352,708.935131062039
160,M1,14,3,0.94625,498,3.5,2.5,-348.30605261154136,702.6121052230827,716.6659404060865
160,M1,15,3,0.96875,518,1.5,2.5,-345.6040108264328,697.2080216528656,711.2618568358694
160,M1,16,3,0.96875,536,1.75,2.5,-344.87306711576707,695.7461342315341,709.7999694145379
160,M1,17,3,0.9625,538,2.5,2.5,-343.44713243428055,692.8942648685611,706.9481000515649
160,M1,18,3,0.9625,548,2.5,2.5,-341.32033604660467,688.6406720932093,702.6945072762131
160,M1,19,3,0.92875,464,2.5,2.5,-354.28378198277,714.56756396554,728.6213991485438
160,M2,0,4,0.94,496,1.75,2.143009316089243,-417.5673145326417,843.1346290652834,861.8730759759551
160,M2,1,4,0.95875,490,2.0,2.1333474509415864,-420.656641189232,849.313282378464,868.0517292891357
160,M2,2,4,0.96375,536,2.75,2.16819136060007,-407.6036474298843,823.2072948597686,841.9457417704402
160,M2,3,4,0.9375,504,2.25,2.155688572947387,-413.0950860855239,834.1901721710478,852.9286190817195
160,M2,4,4,0.9525,508,1.75,2.1466165394443886,-415.57380912328347,839.1476182465669,857.8860651572386
160,M2,5,4,0.95875,486,1.25,2.1330889155928845,-421.2639462311844,850.5278924623688,869.2663393730404
160,M2,6,4,0.9575,494,1.75,2.141788912950012,-417.7735377050804,843.5470754101608,862.2855223208325
160,M2,7,4,0.9625,530,2.0,2.1652942299526368,-408.0294856454325,824.058971290865,842.7974182015366
